"AphiaID","ScientificName"
105789,"Carcharhinus falciformis"
105790,"Carcharhinus galapagensis"
105792,"Carcharhinus leucas"
105794,"Carcharhinus longimanus"
105797,"Carcharhinus plumbeus"
105799,"Galeocerdo cuvier"
105801,"Prionace glauca"
105816,"Sphyrna lewini"
105817,"Sphyrna mokarran"
105819,"Sphyrna zygaena"
105835,"Alopias superciliosus"
105836,"Alopias vulpinus"
105837,"Cetorhinus maximus"
105838,"Carcharodon carcharias"
105839,"Isurus oxyrinchus"
105840,"Isurus paucus"
105841,"Lamna nasus"
105845,"Odontaspis noronhai"
105847,"Rhincodon typus"
105856,"Gymnura altavela"
105858,"Mobula mobular"
105859,"Mobula tarapacana"
105860,"Myliobatis aquila"
105919,"Somniosus microcephalus"
127405,"Mola mola"
158530,"Mobula hypostoma"
158540,"Pteroplatytrygon violacea"
217341,"Carcharhinus brachyurus"
217426,"Aetobatus narinari"
217427,"Aetomylaeus vespertilio"
217430,"Mobula thurstoni"
217434,"Mobula eregoodootenkee"
217436,"Mobula kuhlii"
217628,"Notorynchus cepedianus"
217632,"Pseudocarcharias kamoharai"
220019,"Alopias pelagicus"
271421,"Lamna ditropis"
271482,"Mobula munkiana"
271654,"Somniosus pacificus"
273823,"Thunnus orientalis"
277184,"Glyphis glyphis"
281542,"Megachasma pelagios"
283094,"Urolophus bucculentus"
1026118,"Mobula birostris"
1042870,"Megatrygon microps"
137078,"Cystophora cristata"
137079,"Erignathus barbatus"
137081,"Monachus monachus"
137087,"Balaenoptera acutorostrata"
137089,"Balaenoptera edeni"
137091,"Balaenoptera physalus"
137094,"Delphinus delphis"
137095,"Feresa attenuata"
137096,"Globicephala macrorhynchus"
137097,"Globicephala melas"
137098,"Grampus griseus"
137099,"Lagenodelphis hosei"
137102,"Orcinus orca"
137103,"Peponocephala electra"
137104,"Pseudorca crassidens"
137105,"Stenella attenuata"
137106,"Stenella clymene"
137107,"Stenella coeruleoalba"
137109,"Stenella longirostris"
137110,"Steno bredanensis"
137111,"Tursiops truncatus"
137113,"Kogia breviceps"
137119,"Physeter macrocephalus"
137121,"Mesoplodon bidens"
137122,"Mesoplodon densirostris"
137123,"Mesoplodon europaeus"
137124,"Mesoplodon grayi"
137126,"Mesoplodon mirus"
137127,"Ziphius cavirostris"
148732,"Orcaella brevirostris"
159025,"Kogia sima"
220226,"Sousa chinensis"
231404,"Arctocephalus gazella"
231405,"Balaenoptera bonaerensis"
231409,"Mesoplodon peruvianus"
231414,"Lissodelphis peronii"
231418,"Indopacetus pacificus"
231422,"Phocarctos hookeri"
231429,"Mesoplodon layardii"
231432,"Arctocephalus tropicalis"
231434,"Lagenorhynchus obscurus"
231435,"Arctocephalus australis"
242606,"Berardius arnuxii"
242608,"Berardius bairdii"
254964,"Pontoporia blainvillei"
254975,"Lissodelphis borealis"
254976,"Cephalorhynchus commersonii"
254978,"Cephalorhynchus heavisidii"
254979,"Cephalorhynchus hectori"
254983,"Tursiops aduncus"
254985,"Neophocaena phocaenoides"
254991,"Mesoplodon stejnegeri"
254992,"Mesoplodon perrini"
254999,"Eumetopias jubatus"
255008,"Arctocephalus galapagoensis"
255017,"Histriophoca fasciata"
343897,"Phocoena sinus"
343899,"Hyperoodon ampullatus"
343900,"Hyperoodon planifrons"
343990,"Orcaella heinsohni"
344009,"Sotalia guianensis"
344630,"Otaria byronia"
383586,"Sousa plumbea"
816452,"Sousa sahulensis"
1571884,"Sagmatias australis"
1663107,"Neomonachus schauinslandi"
