"prov_id","ProvCode","ProvDescr"
1,"ALSK","Coastal - Alaska Downwelling Coastal Province"
2,"ANTA","Polar - Antarctic Province"
3,"APLR","Polar - Austral Polar Province"
4,"ARAB","Coastal - NW Arabian Upwelling Province"
5,"ARCH","Trades - Archipelagic Deep Basins Province"
6,"ARCT","Polar - Atlantic Arctic Province"
7,"AUSE","Coastal - East Australian Coastal Province"
8,"AUSW","Coastal - Australia-Indonesia Coastal Province"
9,"BENG","Coastal - Benguela Current Coastal Province"
10,"BERS","Polar - N. Pacific Epicontinental Province"
11,"BPLR","Polar - Boreal Polar Province (POLR)"
12,"BRAZ","Coastal - Brazil Current Coastal Province"
13,"CAMR","Coastal - Central American Coastal Province"
14,"CARB","Trades - Caribbean Province"
15,"CCAL","Coastal - California Upwelling Coastal Province"
16,"CHIL","Coastal - Chile-Peru Current Coastal Province"
17,"CHIN","Coastal - China Sea Coastal Province"
18,"CNRY","Coastal - Canary Coastal Province (EACB)"
19,"EAFR","Coastal - E. Africa Coastal Province"
20,"ETRA","Trades - Eastern Tropical Atlantic Province"
21,"FKLD","Coastal - SW Atlantic Shelves Province"
22,"GFST","Westerlies - Gulf Stream Province"
23,"GUIA","Coastal - Guianas Coastal Province"
24,"GUIN","Coastal - Guinea Current Coastal Province"
25,"INDE","Coastal - E. India Coastal Province"
26,"INDW","Coastal - W. India Coastal Province"
27,"ISSG","Trades - Indian S. Subtropical Gyre Province"
28,"KURO","Westerlies - Kuroshio Current Province"
29,"MEDI","Westerlies - Mediterranean Sea, Black Sea Province"
30,"MONS","Trades - Indian Monsoon Gyres Province"
31,"NADR","Westerlies - N. Atlantic Drift Province (WWDR)"
32,"NASE","Westerlies - N. Atlantic Subtropical Gyral Province (East) (STGE)"
33,"NASW","Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)"
34,"NATR","Trades - N. Atlantic Tropical Gyral Province (TRPG)"
35,"NECS","Coastal - NE Atlantic Shelves Province"
36,"NEWZ","Coastal - New Zealand Coastal Province"
37,"NPPF","Westerlies - N. Pacific Polar Front Province"
38,"NPSW","Westerlies - N. Pacific Subtropical Gyre Province (West)"
39,"NPTG","Trades - N. Pacific Tropical Gyre Province"
40,"NWCS","Coastal - NW Atlantic Shelves Province"
41,"PEQD","Trades - Pacific Equatorial Divergence Province"
42,"PNEC","Trades - N. Pacific Equatorial Countercurrent Province"
43,"PSAE","Westerlies - Pacific Subarctic Gyres Province (East)"
44,"PSAW","Westerlies - Pacific Subarctic Gyres Province (West)"
45,"REDS","Coastal - Red Sea, Persian Gulf Province"
46,"SANT","Westerlies - Subantarctic Province"
47,"SARC","Polar - Atlantic Subarctic Province"
48,"SATL","Trades - South Atlantic Gyral Province (SATG)"
49,"SPSG","Westerlies - S. Pacific Subtropical Gyre Province"
50,"SSTC","Westerlies - S. Subtropical Convergence Province"
51,"SUND","Coastal - Sunda-Arafura Shelves Province"
52,"TASM","Westerlies - Tasman Sea Province"
53,"WARM","Trades - W. Pacific Warm Pool Province"
54,"WTRA","Trades - Western Tropical Atlantic Province"
