"subset","n","mean","median","sd","min","max"
"all_all",6782723,27.4968088777271,28,10.0918182648428,1,74
"all_trop",3406698,27.0598318371396,28,7.61674541330111,1,68
"all_temp",3023923,30.4602719711399,31,9.94085572023278,1,74
"all_temp_north",1483804,27.5133144270429,28,10.4394667475796,1,60
"all_temp_south",1540119,33.2994729628112,33,8.5206993496965,1,74
"inside_all",901745,32.0547050440441,33,11.6182569684784,1,71
"inside_trop",106714,31.0705811796017,31,7.46635419562525,1,57
"inside_temp",733265,34.1973733916252,34,10.1894244795239,1,71
"inside_temp_north",358207,28.8172592942005,29,7.78163697181853,1,60
"inside_temp_south",375058,39.3357640684821,41,9.54477379383639,1,71
"outside_all",5880978,26.7979353091687,28,9.64830033507587,1,74
"outside_trop",3299984,26.9301332976377,27,7.58624882279549,1,68
"outside_temp",2290658,29.2639844097828,30,9.55600041929214,1,74
"outside_temp_north",1125597,27.0983504752996,28,11.1211975138842,1,60
"outside_temp_south",1165061,31.3562620326271,32,7.15128320282446,1,74
